act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,quantile_95_act_travelling_time,quantile_90_act_travelling_time,quantile_95_act_occupied_time,quantile_90_act_occupied_time,quantile_85_act_travelling_time
2019-12-26 11:03:29.888,HOM,03,RC26,2019-12-26 11:06:11.468,161.58,,False,False,False,False,False,False
2019-12-26 11:03:30.287,MOK,33,GC23,2019-12-26 11:03:59.118,28.831,9.0,False,False,False,False,False,False
2019-12-26 11:03:31.481,KOT,01,GC21,2019-12-26 11:03:47.219,15.738,6.0,False,False,False,False,False,False
2019-12-26 11:03:31.680,KOB,09,GC17,2019-12-26 11:04:44.196,72.516,56.0,True,False,False,False,False,False
2019-12-26 11:03:34.868,YAT,7006A,RC10,2019-12-26 11:04:24.075,49.207,33.0,True,False,False,False,False,False
2019-12-26 11:03:35.067,LAT,6104,QC09,2019-12-26 11:04:33.040,57.973,41.0,True,False,False,False,False,False
2019-12-26 11:03:35.266,TIK,7109B,GC12,2019-12-26 11:04:36.626,61.36,0.0,False,False,False,False,False,False
2019-12-26 11:03:35.393,YAT,7007,GC13,2019-12-26 11:04:05.149,29.756,21.0,False,False,False,False,False,False
2019-12-26 11:03:35.465,TIK,7109C,GC12,2019-12-26 11:04:43.081,67.616,54.0,True,False,False,False,False,False
2019-12-26 11:03:35.665,KOB,06,QC07,2019-12-26 11:04:05.149,29.484,11.0,False,False,False,False,False,False
2019-12-26 11:03:35.864,HOM,21,GC24,2019-12-26 11:04:10.927,35.063,20.0,False,False,False,False,False,False
2019-12-26 11:03:36.796,KWT,6004,RC08,2019-12-26 11:03:59.118,22.322,6.0,False,False,False,False,False,False
2019-12-26 11:03:36.860,HOM,04,QC27,2019-12-26 11:04:03.356,26.496,14.0,False,False,False,False,False,False
2019-12-26 11:03:37.394,SKM,06,RC02,2019-12-26 11:03:59.572,22.178,9.0,False,False,False,False,False,False
2019-12-26 11:03:37.657,LOF,12,QC03,2019-12-26 11:03:57.580,19.923,11.0,False,False,False,False,False,False
2019-12-26 11:03:37.856,KOT,03,GC21,2019-12-26 11:03:54.192,16.336,5.0,False,False,False,False,False,False
2019-12-26 11:03:39.590,MOK,42,RC28,2019-12-26 11:04:04.153,24.563,9.0,False,False,False,False,False,False
2019-12-26 11:03:39.848,SKM,03,GC22,2019-12-26 11:03:59.118,19.27,7.0,False,False,False,False,False,False
2019-12-26 11:03:40.048,MOK,35,GC23,2019-12-26 11:04:46.587,66.539,10.0,False,False,False,False,False,False
2019-12-26 11:03:40.259,DIH,12,QC05,2019-12-26 11:04:02.560,22.301,10.0,False,False,False,False,False,False
2019-12-26 11:03:42.837,WTS,12,RC04,2019-12-26 11:04:03.157,20.32,9.0,False,False,False,False,False,False
2019-12-26 11:03:43.036,KWT,6002,RC08,2019-12-26 11:04:11.683,28.647,13.0,False,False,False,False,False,False
